shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
M010142,40.7491996472,-73.9840044321,460004
M010142,40.7491996472,-73.9840044321,470001
M010142,40.7491008464,-73.9840766378,470002
M010142,40.7484394293,-73.9845604109,470003
M010142,40.7477725211,-73.9850477847,470004
M010142,40.7474695296,-73.985266559,470005
M010142,40.7474695296,-73.985266559,480001
M010142,40.7471522663,-73.9854954396,480002
M010142,40.7465347554,-73.9859503035,480003
M010142,40.746224901,-73.9861741235,480004
M010142,40.746224901,-73.9861741235,490001
M010142,40.7459199861,-73.9863943316,490002
M010142,40.7452997264,-73.9868455704,490003
M010142,40.7450318616,-73.9870412247,490004
M010142,40.7450318616,-73.9870412247,500001
M010142,40.7446822097,-73.9872968003,500002
M010142,40.744064691,-73.9877480218,500003
M010142,40.743449915,-73.9881956256,500004
M010142,40.743318175,-73.9882714336,500005
M010142,40.7431057487,-73.98843964,500006
M010142,40.7431057487,-73.98843964,510001
M010142,40.7430766568,-73.9884627412,510002
M010142,40.7428131792,-73.988643225,510003
M010142,40.7426704595,-73.9887154244,510004
M010142,40.7422121205,-73.9890619401,510005
M010142,40.7419047307,-73.9892929482,510006
M010142,40.7418470934,-73.9893182184,510007
M010142,40.7415424495,-73.9895672671,510008
M010142,40.741152173,-73.9898621568,510009
M010142,40.741152173,-73.9898621568,520001
M010142,40.7408782654,-73.9900689745,520002
M010142,40.7402607353,-73.990516536,520003
M010142,40.7396733942,-73.990946042,520004
M010142,40.7393679213,-73.9911694544,520005
M010142,40.7393679213,-73.9911694544,530001
M010142,40.7390860515,-73.9913755405,530002
M010142,40.7385041961,-73.9917978137,530003
M010142,40.7379168498,-73.9922236887,530004
M010142,40.7376316845,-73.9924322922,530005
M010142,40.7376316845,-73.9924322922,540001
M010142,40.7373295021,-73.9926531646,540002
M010142,40.7366900048,-73.9931187227,540003
M010142,40.7360038466,-73.9936167519,540004
M010142,40.7356725686,-73.9938571014,540005
M010142,40.7356725686,-73.9938571014,550001
M010142,40.7353121969,-73.9941183796,550002
M010142,40.7346726934,-73.9945839095,550003
M010142,40.7344322616,-73.994758932,550004
M010142,40.7344322616,-73.994758932,560001
M010142,40.734033188,-73.9950494305,560002
M010142,40.7334348509,-73.995489682,560003
M010142,40.7331903006,-73.9956668632,560004
M010142,40.7331903006,-73.9956668632,570001
M010142,40.7328474906,-73.995915492,570002
M010142,40.7322546395,-73.9963521194,570003
M010142,40.7320561783,-73.9958816236,570004
M010142,40.7320561783,-73.9958816236,580001
M010142,40.7315958396,-73.9947898244,580002
M010142,40.7314596851,-73.9944701532,580003
M010142,40.7314596851,-73.9944701532,590001
M010142,40.7312746673,-73.9940357488,590002
M010142,40.730945254,-73.9932492082,590003
M010142,40.7307574861,-73.9928036257,590004
M010142,40.7307574861,-73.9928036257,600001
M010142,40.7305911289,-73.9924085567,600002
M010142,40.7301137345,-73.9912475327,600003
M010142,40.7301137345,-73.9912475327,610001
M010142,40.7300393379,-73.9910664173,610002
M010142,40.7299405082,-73.9908282983,610003
M010142,40.729819732,-73.9907381134,610004
M010142,40.7304754362,-73.9905345258,610005
M010143,40.7306436867,-73.9905023898,10001
M010143,40.7308188009,-73.9904926229,10002
M010143,40.7312881447,-73.9903915281,10003
M010143,40.7319962748,-73.9902110171,10004
M010143,40.7326217901,-73.9900593804,10005
M010143,40.7326217901,-73.9900593804,20001
M010143,40.7327565545,-73.9900268863,20002
M010143,40.7335250702,-73.9898680079,20003
M010143,40.7339387017,-73.9898434087,20004
M010143,40.7339387017,-73.9898434087,30001
M010143,40.7339532488,-73.9898426848,30002
M010143,40.7343045794,-73.989875106,30003
M010143,40.7344720144,-73.9899364218,30004
M010143,40.7349935251,-73.9900337682,30005
M010143,40.7352295721,-73.9900192995,30006
M010143,40.7353475875,-73.9899182478,30007
M010143,40.735601734,-73.9897240789,30008
M010143,40.735601734,-73.9897240789,40001
M010143,40.7356165546,-73.9897125299,40002
M010143,40.7359184589,-73.9895140219,40003
M010143,40.7359870723,-73.9894562768,40004
M010143,40.7362148697,-73.9892758205,40005
M010143,40.7365442177,-73.9890448284,40006
M010143,40.73660734,-73.9889726495,40007
M010143,40.7368590156,-73.9887892991,40008
M010143,40.7368590156,-73.9887892991,50001
M010143,40.7371480169,-73.9885792384,50002
M010143,40.7377326057,-73.9881605537,50003
M010143,40.7383171915,-73.9877274275,50004
M010143,40.7389017763,-73.9873015109,50005
M010143,40.7390387281,-73.9872018886,50006
M010143,40.7390387281,-73.9872018886,60001
M010143,40.7395220384,-73.9868503197,60002
M010143,40.7401862107,-73.9863666335,60003
M010143,40.7405413498,-73.9861070997,60004
M010143,40.7405413498,-73.9861070997,70001
M010143,40.7408531252,-73.9858793284,70002
M010143,40.7414678921,-73.985428112,70003
M010143,40.7415118211,-73.9855320327,70004
M010143,40.7415118211,-73.9855320327,80001
M010143,40.7420966173,-73.9869147686,80002
M010143,40.7421405491,-73.9870555002,80003
M010143,40.7427717881,-73.9865970651,80004
M010143,40.7433893023,-73.9861458416,80005
M010143,40.7440068147,-73.9856946098,80006
M010143,40.74423351,-73.9855296372,80007
M010143,40.74423351,-73.9855296372,90001
M010143,40.74462707,-73.9852433691,90002
M010143,40.745241834,-73.9847921212,90003
M010143,40.7455445501,-73.9845726303,90004
M010143,40.7455445501,-73.9845726303,100001
M010143,40.7458593414,-73.9843444732,100002
M010143,40.746476847,-73.983896817,100003
M010143,40.7470970951,-73.9834455427,100004
M010143,40.7477639966,-73.9829581579,100005
M010143,40.7483631084,-73.9825202253,100006
M010143,40.7483631084,-73.9825202253,110001
M010143,40.748430896,-73.9824707633,110002
M010143,40.7490483947,-73.9820266815,110003
M010143,40.7496658899,-73.9815717641,110004
M010143,40.7501749796,-73.9812009624,110005
M010143,40.7501749796,-73.9812009624,120001
M010143,40.7502806396,-73.9811240573,120002
M010143,40.7509036212,-73.9806727307,120003
M010143,40.7515211115,-73.9802213973,120004
M010143,40.7520782237,-73.9798159115,120005
M010143,40.7520782237,-73.9798159115,130001
M010143,40.7521413447,-73.9797700547,130002
M010143,40.7527999966,-73.979286208,130003
M010143,40.753379608,-73.9788572388,130004
M010143,40.753379608,-73.9788572388,140001
M010143,40.7534778563,-73.9787842989,140002
M010143,40.7540980837,-73.9783329297,140003
M010143,40.7547292869,-73.9778743295,140004
M010143,40.7552776081,-73.977472417,140005
M010143,40.7552776081,-73.977472417,150001
M010143,40.7553549986,-73.9774157226,150002
M010143,40.7559779645,-73.9769607174,150003
M010143,40.7565465915,-73.976549037,150004
M010143,40.7565465915,-73.976549037,160001
M010143,40.756606418,-73.9765057018,160002
M010143,40.7572321235,-73.9760434596,160003
M010143,40.7577911423,-73.9756400691,160004
M010143,40.7577911423,-73.9756400691,170001
M010143,40.7578578293,-73.9755920373,170002
M010143,40.7584862764,-73.9751333864,170003
M010143,40.7591119777,-73.9746783374,170004
M010143,40.7596734611,-73.9742716745,170005
M010143,40.7596734611,-73.9742716745,180001
M010143,40.7597404219,-73.9742232789,180002
M010143,40.760363374,-73.9737646042,180003
M010143,40.7609890697,-73.9733095296,180004
M010143,40.7616120189,-73.9728544476,180005
M010143,40.7616120189,-73.9728544476,190001
M010143,40.7616120189,-73.9728544476,190002
M010143,40.7622871067,-73.9723596274,190003
M010143,40.7628922148,-73.9719193355,190004
M010143,40.7628922148,-73.9719193355,200001
M010143,40.7629621931,-73.9718684071,200002
M010143,40.7635851355,-73.9714096882,200003
M010143,40.764216312,-73.970958177,200004
M010143,40.7647212485,-73.970583605,200005
M010143,40.7647212485,-73.970583605,210001
M010143,40.7648392498,-73.970495831,210002
M010143,40.7654649322,-73.9700406951,210003
M010143,40.7660906127,-73.9695855506,210004
M010143,40.7663145401,-73.9694226358,210005
M010143,40.7663145401,-73.9694226358,220001
M010143,40.7667162915,-73.9691303976,220002
M010143,40.7673419673,-73.968671626,220003
M010143,40.7678765353,-73.9682825645,220004
M010143,40.7678765353,-73.9682825645,230001
M010143,40.7679676423,-73.9682164559,230002
M010143,40.7685960592,-73.9677576657,230003
M010143,40.7688498954,-73.9675734239,230004
M010143,40.7688498954,-73.9675734239,240001
M010143,40.7692189867,-73.9673060899,240002
M010143,40.7698473998,-73.9668472825,240003
M010143,40.7701135829,-73.966652919,240004
M010143,40.7701135829,-73.966652919,250001
M010143,40.770475811,-73.9663884665,250002
M010143,40.771098733,-73.9659368652,250003
M010143,40.7717820222,-73.9654346795,250004
M010143,40.7721870555,-73.9651380591,250005
M010143,40.7721870555,-73.9651380591,260001
M010143,40.7724625654,-73.9649360953,260002
M010143,40.7730992019,-73.9644736284,260003
M010143,40.7737330917,-73.9640111541,260004
M010143,40.7738768829,-73.9639063735,260005
M010143,40.7738768829,-73.9639063735,270001
M010143,40.7743669796,-73.963548671,270002
M010143,40.7750008667,-73.9630897897,270003
M010143,40.7753586955,-73.9628278282,270004
M010143,40.7753586955,-73.9628278282,280001
M010143,40.7756374943,-73.962623677,280002
M010143,40.776318025,-73.9621250352,280003
M010143,40.7770012982,-73.9616263816,280004
M010143,40.7770012982,-73.9616263816,290001
M010143,40.7770012982,-73.9616263816,290002
M010143,40.7776351774,-73.9611674638,290003
M010143,40.778271797,-73.9607013143,290004
M010143,40.7788288374,-73.9602929748,290005
M010143,40.7788288374,-73.9602929748,300001
M010143,40.7789029264,-73.9602387698,300002
M010143,40.7795395421,-73.9597726025,300003
M010143,40.7801734124,-73.9593100388,300004
M010143,40.7808566744,-73.9588149383,300005
M010143,40.7811930901,-73.9585691929,300006
M010143,40.7811930901,-73.9585691929,310001
M010143,40.7815344446,-73.9583198311,310002
M010143,40.7821600773,-73.9578644666,310003
M010143,40.7827116199,-73.9574614995,310004
M010143,40.7827116199,-73.9574614995,320001
M010143,40.7827884516,-73.957405481,320002
M010143,40.783416824,-73.9569464866,320003
M010143,40.7840451945,-73.9564874836,320004
M010143,40.7843997153,-73.9562283421,320005
M010143,40.7843997153,-73.9562283421,330001
M010143,40.784668075,-73.9560320866,330002
M010143,40.7852964404,-73.9555694553,330003
M010143,40.7856745579,-73.9552954827,330004
M010143,40.7856745579,-73.9552954827,340001
M010143,40.7859248066,-73.9551140375,340002
M010143,40.7865504248,-73.9546550018,340003
M010143,40.7869804,-73.9543419827,340004
M010143,40.7869804,-73.9543419827,350001
M010143,40.7872254333,-73.9541634229,350002
M010143,40.7879004396,-73.9536718341,350003
M010143,40.7884500457,-73.9532687988,350004
M010143,40.7884500457,-73.9532687988,360001
M010143,40.7885315399,-73.9532091561,360002
M010143,40.7891681263,-73.9527428542,360003
M010143,40.7903425167,-73.9518911891,360004
M010143,40.7903425167,-73.9518911891,370001
M010143,40.7904193458,-73.9518355189,370002
M010143,40.7910476938,-73.951372808,370003
M010143,40.791408514,-73.9511099959,370004
M010143,40.791408514,-73.9511099959,380001
M010143,40.7916732981,-73.9509173132,380002
M010143,40.792195732,-73.9505388103,380003
M010143,40.792195732,-73.9505388103,390001
M010143,40.7923016454,-73.9504618078,390002
M010143,40.7929299876,-73.9499990709,390003
M010143,40.7934729964,-73.949603564,390004
M010143,40.7934729964,-73.949603564,400001
M010143,40.7936049755,-73.9495073977,400002
M010143,40.7942799597,-73.949012103,400003
M010143,40.7945891908,-73.9487879489,400004
M010143,40.7945891908,-73.9487879489,410001
M010143,40.7949082992,-73.9485565618,410002
M010143,40.7955393782,-73.9480937867,410003
M010143,40.7958499785,-73.9478667336,410004
M010143,40.7958499785,-73.9478667336,420001
M010143,40.7961677123,-73.9476346165,420002
M010143,40.7967960444,-73.9471754377,420003
M010143,40.7970602733,-73.9469838077,420004
M010143,40.7970602733,-73.9469838077,430001
M010143,40.7974490705,-73.9467017836,430002
M010143,40.7985328677,-73.9459110187,430003
M010143,40.7985328677,-73.9459110187,440001
M010143,40.7992874067,-73.9453603248,440002
M010143,40.7995820868,-73.9451433725,440003
M010143,40.7995820868,-73.9451433725,450001
M010143,40.7999843216,-73.9448468683,450002
M010143,40.8006620315,-73.9443550885,450003
M010143,40.8012903502,-73.9438958477,450004
M010143,40.8015446952,-73.9437099792,450005
M010143,40.8015446952,-73.9437099792,460001
M010143,40.8019186669,-73.9434365983,460002
M010143,40.8022698649,-73.9431798488,460003
M010143,40.8025607125,-73.9429917764,460004
M010143,40.8028131534,-73.9428434675,460005
M010143,40.8031917882,-73.9425686276,460006
M010143,40.8035256985,-73.9423238034,460007
M010143,40.8035256985,-73.9423238034,470001
M010143,40.8038283301,-73.9421021213,470002
M010143,40.8044484089,-73.9416500688,470003
M010143,40.804802344,-73.9413864347,470004
M010143,40.804802344,-73.9413864347,480001
M010143,40.8049971453,-73.9412414166,480002
M010143,40.8050629799,-73.9411655035,480003
M010143,40.8051507648,-73.9410751224,480004
M010143,40.8057351693,-73.9406447562,480005
M010143,40.8060446576,-73.940419802,480006
M010143,40.8060446576,-73.940419802,490001
M010143,40.8064073731,-73.9401565083,490002
M010143,40.8070329316,-73.939700803,490003
M010143,40.8072754722,-73.9395239438,490004
M010143,40.8072754722,-73.9395239438,500001
M010143,40.8076530008,-73.9392487064,500002
M010143,40.8082785555,-73.938792984,500003
M010143,40.8085408491,-73.938602012,500004
M010143,40.8085408491,-73.938602012,510001
M010143,40.8089041085,-73.9383372531,510002
M010143,40.8095241701,-73.9378815187,510003
M010143,40.810174412,-73.9374076854,510004
M010143,40.8104649623,-73.9371957237,510005
M010143,40.8104649623,-73.9371957237,520001
M010143,40.8119989186,-73.9360765641,520002
M010143,40.8120702511,-73.9360223078,520003
M010143,40.8121554534,-73.9362317523,520004
M010143,40.8122884722,-73.9365480825,520005
M010143,40.8122884722,-73.9365480825,530001
M010143,40.8127463359,-73.9376364701,530002
M010143,40.8131683065,-73.9373290055,530003
M010143,40.8131683065,-73.9373290055,540001
M010143,40.813421269,-73.9371445252,540002
M010143,40.8140413254,-73.9366887487,540003
M010143,40.8145044446,-73.9363458289,540004
M010143,40.8145044446,-73.9363458289,550001
M010143,40.8146668655,-73.9362257332,550002
M010143,40.8147848422,-73.9361425289,550003
M010143,40.8148287436,-73.9361171981,550004
M010143,40.8153253361,-73.9357554519,550005
M010143,40.8155603244,-73.936323504,550006
M010143,40.8155603244,-73.936323504,560001
M010143,40.8164549029,-73.9384856054,560002
M010143,40.8166170696,-73.9389153745,560003
M010143,40.8169613957,-73.9386599959,560004
M010143,40.8169613957,-73.9386599959,570001
M010143,40.8172316433,-73.9384595978,570002
M010143,40.8178544571,-73.9380182563,570003
M010143,40.8184772613,-73.9375624551,570004
M010143,40.8188155498,-73.9373142938,570005
M010143,40.8188155498,-73.9373142938,580001
M010143,40.8191082938,-73.9370994117,580002
M010143,40.8197393283,-73.9366435855,580003
M010143,40.8202414135,-73.9362854242,580004
M010143,40.8203072686,-73.9362528445,580005
M010143,40.8204362581,-73.9362310431,580006
M010143,40.8207386032,-73.936010361,580007
M010143,40.8207386032,-73.936010361,590001
M010143,40.8211056969,-73.9357426453,590002
M010143,40.8216571556,-73.9353338394,590003
M010143,40.8217477311,-73.9353337514,590004
M010143,40.8219266483,-73.9357566661,590005
M010143,40.8219266483,-73.9357566661,600001
M010143,40.8228269819,-73.9378846369,600002
M010143,40.8228269819,-73.9378846369,610001
M010143,40.8228937633,-73.9380424673,610002
M010143,40.8229679655,-73.9382194406,610003
M010143,40.8223451573,-73.9386716534,610004
M010143,40.8222709577,-73.9384982943,610005
M010143,40.8211551667,-73.9358592979,610006
M020139,40.8219112659,-73.9387612956,10001
M020139,40.8222709577,-73.9384982943,10002
M020139,40.8228937633,-73.9380424673,10003
M020139,40.8231360256,-73.9378644763,10004
M020139,40.8231360256,-73.9378644763,20001
M020139,40.8235247973,-73.9375793978,20002
M020139,40.8241475992,-73.9371235536,20003
M020139,40.8242916391,-73.9370182739,20004
M020139,40.8242916391,-73.9370182739,30001
M020139,40.8247758866,-73.9366640825,30002
M020139,40.8253877099,-73.9362154582,30003
M020139,40.8256431394,-73.936029492,30004
M020139,40.8256431394,-73.936029492,40001
M020139,40.8259391739,-73.9358138564,40002
M020139,40.8261092512,-73.9356438682,40003
M020139,40.8265559087,-73.935319684,40004
M020139,40.8265559087,-73.935319684,50001
M020139,40.8266277909,-73.9352675825,50002
M020139,40.826806136,-73.9351590095,50003
M020139,40.8269790364,-73.9351299343,50004
M020139,40.8270751114,-73.9351479073,50005
M020139,40.8272233845,-73.9352525497,50006
M020139,40.8273963154,-73.9352776749,50007
M020139,40.8274896314,-73.9352703574,50008
M020139,40.8278985361,-73.9351687851,50009
M020139,40.8280301213,-73.9348831994,50010
M020139,40.8281454174,-73.9349156071,50011
M020139,40.8282003543,-73.9349914347,50012
M020139,40.8303494772,-73.9400879988,50013
M020139,40.8303824549,-73.9401674664,50014
M020139,40.8304566537,-73.940344462,50015
M020139,40.8309040479,-73.940357431,50016
M020139,40.8309040479,-73.940357431,60001
M020139,40.8314145714,-73.9403725117,60002
M020139,40.8316039412,-73.9403434334,60003
M020139,40.8318399317,-73.9402384276,60004
M020139,40.8324819505,-73.9397716931,60005
M020139,40.8326246356,-73.9396956776,60006
M020139,40.8326850097,-73.9396775547,60007
M020139,40.8328743452,-73.9395834282,60008
M020139,40.8329432057,-73.9395230177,60009
M020139,40.8329432057,-73.9395230177,70001
